Jenis_Biji,Asal_Daerah,Ketinggian_Tanam_mdpl,Suhu_Roasting_C,Waktu_Roasting_Menit,Kelembapan_Persen,Skor_Cacat,Status_QC
Arabica,Sumatera,1377.6,198.1,11.5,11.11,2.5,Approved
Robusta,Sumatera,767.9,210.3,9.3,11.03,0.9,Approved
Arabica,Sulawesi,1334.9,203.7,11.4,12.15,2.3,Approved
Arabica,Jawa,2089.8,211.3,14.1,10.41,2.5,Approved
Robusta,Sulawesi,839.8,,10.3,8.18,5.5,Rejected
Arabica,Jawa,1229.8,198.9,10.8,11.74,0.1,Approved
Robusta,Sumatera,789.6,212.1,13.2,9.3,0.4,Approved
Arabica,Bali,1596.4,212.8,12.0,9.56,0.1,Approved
Arabica,Jawa,1609.5,209.4,13.2,11.0,4.0,Approved
Arabica,Sumatera,1609.8,201.2,12.5,10.86,3.1,Approved
Arabica,Sulawesi,1449.0,203.5,13.0,8.88,1.7,Approved
Arabica,Jawa,1474.9,205.7,11.1,11.25,0.2,Approved
Robusta,Bali,663.1,201.5,12.5,12.45,0.6,Approved
Arabica,Sulawesi,1517.2,213.5,10.1,9.31,0.7,Approved
Arabica,Sulawesi,1056.1,205.7,14.6,12.91,1.6,Approved
Arabica,Sumatera,1454.0,191.5,10.7,8.66,0.6,Approved
Arabica,Jawa,1329.7,206.7,14.3,14.18,0.2,Rejected
Arabica,Sulawesi,1535.0,203.3,11.5,10.38,2.6,Approved
Arabica,Bali,2097.1,204.6,12.4,11.22,0.7,Approved
Arabica,Jawa,1573.5,203.2,11.0,8.16,1.2,Approved
Arabica,Bali,1437.3,209.0,10.0,10.91,0.3,Approved
Arabica,Sulawesi,1684.4,210.6,8.5,11.34,3.2,Approved
Arabica,Bali,1596.5,,9.9,10.87,1.7,Approved
Arabica,Sumatera,1584.0,203.3,11.4,10.16,4.6,Approved
Arabica,Bali,1621.4,204.8,12.4,9.58,1.4,Approved
Robusta,Jawa,792.0,205.1,14.0,12.7,5.7,Rejected
Arabica,Bali,1273.8,201.0,11.1,11.05,4.4,Approved
Arabica,Bali,1594.7,207.9,10.2,13.31,1.7,Rejected
Arabica,Sumatera,1314.7,,9.1,10.21,5.4,Approved
Robusta,Bali,875.1,212.7,13.0,10.35,0.8,Rejected
Robusta,Bali,668.2,211.3,14.8,12.22,0.9,Approved
Arabica,Sulawesi,1416.5,201.6,14.5,8.57,0.1,Rejected
Arabica,Sulawesi,1441.0,209.1,13.4,9.18,1.8,Approved
Robusta,Jawa,832.5,200.2,13.3,12.65,2.6,Approved
Arabica,Sulawesi,1683.7,208.5,15.4,9.24,3.0,Approved
Arabica,Sulawesi,1250.9,202.4,12.7,8.27,0.3,Approved
Arabica,Sulawesi,1511.0,199.9,13.3,13.8,1.2,Rejected
Arabica,Sulawesi,1358.1,206.4,11.4,8.91,0.4,Rejected
Robusta,Sumatera,1091.8,191.6,9.3,11.28,2.2,Rejected
Robusta,Sulawesi,526.8,196.2,10.6,11.1,0.3,Approved
Arabica,Sumatera,1438.3,204.1,12.0,6.78,4.7,Approved
Arabica,Sumatera,1985.3,205.4,12.1,10.6,0.5,Approved
Arabica,Sulawesi,1586.6,203.2,15.9,11.67,0.7,Rejected
Robusta,Bali,784.9,197.1,12.2,11.53,3.8,Approved
Robusta,Sumatera,791.4,200.9,14.4,12.36,1.2,Approved
Robusta,Bali,861.6,207.0,11.1,10.42,0.0,Approved
Robusta,Bali,765.3,207.9,11.4,12.07,1.4,Approved
Arabica,Sulawesi,1182.8,204.9,9.3,9.97,0.2,Approved
Arabica,Jawa,1124.0,210.8,10.5,8.88,8.4,Rejected
Arabica,Sulawesi,1874.2,207.0,13.1,9.05,1.8,Approved
Robusta,Jawa,655.1,201.3,12.0,8.81,0.6,Approved
Arabica,Jawa,1326.3,203.6,13.9,12.51,1.7,Rejected
Arabica,Sulawesi,1606.9,198.0,12.4,8.73,0.2,Approved
Arabica,Sulawesi,972.9,204.5,11.3,11.41,3.2,Approved
Arabica,Jawa,1500.7,210.6,16.3,10.6,5.2,Approved
Arabica,Sulawesi,1565.6,,11.8,10.85,4.2,Approved
Arabica,Jawa,1684.9,212.0,14.3,13.05,0.8,Approved
Arabica,Bali,1297.2,203.5,11.2,10.34,0.8,Approved
Arabica,Sulawesi,1517.1,211.7,13.4,11.92,0.1,Rejected
Arabica,Bali,1314.9,204.0,13.9,11.06,2.1,Rejected
Arabica,Sumatera,1551.1,212.4,12.4,10.77,1.5,Approved
Robusta,Bali,918.8,204.9,7.3,14.45,1.2,Rejected
Arabica,Bali,1418.4,208.5,12.0,8.84,4.8,Approved
Arabica,Jawa,1300.8,212.4,14.5,12.93,0.4,Approved
Robusta,Bali,615.6,204.0,13.1,11.98,0.0,Approved
Arabica,Sulawesi,1671.7,206.1,12.9,10.28,0.2,Approved
Robusta,Jawa,802.1,211.4,8.6,13.44,0.5,Approved
Arabica,Sumatera,1507.6,204.3,10.6,8.23,0.1,Approved
Arabica,Sulawesi,1210.3,,12.8,10.22,1.4,Approved
Arabica,Sumatera,1440.1,215.7,12.8,9.19,0.8,Approved
Arabica,Bali,1490.0,202.7,14.4,11.62,0.4,Approved
Arabica,Sulawesi,2024.2,205.8,11.7,9.33,2.8,Approved
Arabica,Sulawesi,1277.6,210.8,12.8,11.65,0.5,Approved
Robusta,Sumatera,623.5,202.0,12.0,10.72,2.3,Approved
Arabica,Sulawesi,1699.4,200.0,10.0,10.28,0.9,Approved
Robusta,Sulawesi,715.0,206.3,7.5,11.58,1.4,Approved
Arabica,Sulawesi,1851.7,196.0,12.9,10.6,5.4,Rejected
Robusta,Bali,831.4,,12.3,9.37,0.1,Approved
Arabica,Sumatera,1577.8,206.2,10.8,15.2,1.4,Rejected
Arabica,Sulawesi,1489.4,203.7,8.8,10.27,3.9,Approved
Arabica,Jawa,1744.7,197.3,13.3,7.67,1.8,Approved
Arabica,Jawa,1719.3,213.0,11.5,9.74,0.6,Approved
Robusta,Jawa,979.0,205.5,13.1,9.1,1.0,Approved
Arabica,Jawa,1236.2,212.2,15.7,12.24,2.3,Approved
Arabica,Bali,1459.4,203.7,7.7,11.48,4.4,Approved
Arabica,Sulawesi,1340.0,200.6,10.6,11.6,0.1,Approved
Arabica,Sumatera,1487.3,206.3,11.6,10.44,0.1,Approved
Robusta,Sulawesi,708.0,203.9,14.9,10.58,0.8,Approved
Robusta,Bali,829.4,199.1,8.7,10.44,0.5,Approved
Robusta,Jawa,881.9,212.3,15.9,10.88,0.6,Approved
Arabica,Bali,1511.6,201.9,12.3,12.25,0.5,Approved
Arabica,Sulawesi,1669.7,195.8,11.8,11.5,0.4,Approved
Robusta,Sumatera,823.7,211.6,11.6,11.75,0.3,Approved
Arabica,Bali,1378.7,202.5,11.1,11.75,5.4,Approved
Robusta,Sumatera,993.7,202.0,14.1,12.33,0.3,Approved
Robusta,Bali,863.3,196.2,9.9,11.43,0.5,Approved
Robusta,Sumatera,996.5,213.7,12.7,11.54,0.6,Approved
Arabica,Sumatera,1124.7,198.6,11.2,12.78,5.4,Rejected
Arabica,Jawa,1623.9,205.3,10.5,10.0,2.8,Approved
Robusta,Sumatera,1045.3,209.6,17.2,9.72,3.1,Approved
Arabica,Jawa,1262.1,207.1,12.8,9.22,0.2,Approved
Arabica,Sulawesi,1375.1,204.7,13.2,11.27,3.6,Approved
Arabica,Sulawesi,1463.1,196.5,14.3,8.22,1.0,Approved
Robusta,Jawa,748.2,201.0,9.2,11.69,0.6,Approved
Arabica,Jawa,1058.9,205.9,15.5,10.84,1.7,Approved
Arabica,Bali,1679.4,,7.0,12.7,3.5,Approved
Arabica,Bali,1755.0,206.0,10.5,9.99,3.0,Approved
Arabica,Bali,1630.3,208.4,11.1,10.7,4.4,Approved
Robusta,Sulawesi,497.0,209.8,13.2,12.68,5.3,Approved
Arabica,Bali,1459.7,198.9,12.4,13.07,0.5,Approved
Arabica,Sumatera,1498.7,216.0,11.7,9.98,1.1,Rejected
Robusta,Sumatera,808.4,208.8,12.0,11.27,0.0,Approved
Robusta,Bali,753.6,205.0,10.0,11.44,4.2,Approved
Arabica,Sumatera,1353.2,210.4,9.0,11.56,0.3,Approved
Robusta,Sulawesi,374.4,216.8,13.5,10.61,4.0,Approved
Arabica,Sumatera,1591.5,197.8,13.4,12.92,0.8,Approved
Arabica,Sulawesi,1791.2,203.9,15.2,8.17,0.9,Rejected
Robusta,Jawa,732.0,193.1,10.4,10.37,0.1,Approved
Robusta,Jawa,1058.9,206.0,13.4,11.67,0.8,Approved
Robusta,Jawa,666.9,206.8,11.4,11.69,4.4,Approved
Robusta,Jawa,915.8,204.8,14.4,13.03,0.1,Approved
Arabica,Sumatera,1582.0,201.7,14.0,12.8,1.0,Rejected
Arabica,Bali,1327.8,194.8,12.4,10.57,0.1,Approved
Robusta,Sumatera,699.9,206.9,11.3,12.95,0.9,Rejected
Arabica,Sulawesi,1639.6,212.3,13.9,9.93,0.4,Approved
Robusta,Sumatera,964.4,202.0,13.3,12.4,0.6,Rejected
Robusta,Sumatera,863.8,,10.6,13.72,4.2,Rejected
Robusta,Sulawesi,568.3,197.2,9.3,12.82,1.1,Rejected
Arabica,Jawa,1592.6,207.3,11.4,11.16,0.6,Approved
Arabica,Jawa,1539.5,203.0,15.0,10.5,1.8,Approved
Arabica,Jawa,1562.3,201.2,14.3,8.71,0.3,Approved
Arabica,Bali,1840.0,201.2,9.8,11.47,0.6,Approved
Arabica,Sulawesi,1714.3,203.0,9.7,9.33,1.6,Approved
Arabica,Sulawesi,1538.1,206.9,14.5,9.81,0.5,Approved
Arabica,Sumatera,1688.3,198.4,9.7,9.21,2.3,Approved
Arabica,Bali,1293.5,203.0,13.0,10.31,1.4,Approved
Arabica,Jawa,1579.6,204.8,10.8,10.96,3.0,Approved
Arabica,Bali,1861.9,199.5,15.2,11.41,5.9,Rejected
Arabica,Sulawesi,1456.4,214.0,10.5,10.1,0.2,Approved
Robusta,Sulawesi,766.2,200.7,14.3,12.6,0.8,Approved
Arabica,Sumatera,1369.6,201.7,12.4,10.69,0.8,Approved
Arabica,Sumatera,1282.1,200.1,12.5,,0.3,Approved
Arabica,Sulawesi,1343.0,214.0,8.1,11.34,3.3,Approved
Robusta,Jawa,591.1,207.8,7.6,13.95,2.9,Approved
Arabica,Jawa,1218.9,200.3,11.6,11.5,1.3,Approved
Arabica,Bali,1503.1,210.5,12.5,,1.5,Approved
Arabica,Sulawesi,1680.5,206.0,9.7,8.71,0.1,Rejected
Arabica,Sulawesi,1318.4,206.3,9.8,10.67,1.6,Approved
Arabica,Jawa,1803.9,203.3,13.1,11.35,3.1,Approved
Arabica,Jawa,1602.2,201.3,13.1,10.42,1.7,Approved
Arabica,Sulawesi,1706.1,206.7,11.7,8.5,0.6,Approved
Robusta,Sumatera,905.5,202.3,13.6,9.72,2.2,Approved
Robusta,Sulawesi,1123.2,214.1,9.7,13.18,0.9,Rejected
Arabica,Sulawesi,1281.6,198.7,11.3,13.15,1.6,Rejected
Arabica,Jawa,1678.0,212.7,15.3,9.67,1.3,Approved
Robusta,Jawa,836.9,204.4,12.1,12.01,1.0,Approved
Arabica,Sumatera,1610.7,206.5,12.3,9.23,2.5,Approved
Arabica,Sumatera,1264.9,209.2,16.6,13.11,4.3,Approved
Arabica,Bali,1321.0,201.8,9.2,11.37,0.0,Approved
Arabica,Sulawesi,1619.4,209.3,13.6,12.42,5.4,Approved
Robusta,Jawa,729.3,191.5,15.3,8.43,1.4,Rejected
Robusta,Sumatera,907.8,201.4,11.4,12.02,2.4,Approved
Arabica,Bali,1226.6,200.4,13.7,10.99,3.9,Approved
Arabica,Bali,1669.6,198.7,10.0,12.28,1.3,Approved
Arabica,Jawa,1253.5,203.9,10.6,12.37,3.6,Approved
Arabica,Jawa,1610.5,206.9,12.8,11.1,0.4,Approved
Arabica,Bali,1625.1,208.5,13.6,10.1,0.3,Approved
Arabica,Sumatera,1360.6,206.2,14.2,12.17,2.1,Approved
Robusta,Bali,555.3,201.7,15.1,10.91,4.1,Approved
Arabica,Sulawesi,1552.1,206.8,11.9,9.69,4.5,Approved
Arabica,Sulawesi,1392.2,205.6,14.4,9.62,2.1,Approved
Robusta,Jawa,923.4,209.7,11.3,8.78,1.5,Rejected
Robusta,Sumatera,655.6,208.9,13.8,10.23,0.8,Approved
Arabica,Sumatera,1569.9,205.2,12.4,12.65,7.8,Rejected
Arabica,Sulawesi,1187.0,200.5,12.9,11.27,0.8,Approved
Arabica,Bali,1519.1,201.7,12.8,10.21,2.7,Approved
Arabica,Jawa,1447.3,202.3,8.8,12.21,1.5,Approved
Arabica,Bali,1635.8,203.4,9.8,9.75,1.9,Approved
Robusta,Bali,713.5,206.3,12.2,11.14,1.0,Approved
Arabica,Bali,1434.1,208.6,8.6,10.73,6.7,Approved
Arabica,Sumatera,1646.4,204.7,13.7,12.17,1.7,Approved
Arabica,Sulawesi,1567.0,205.1,13.7,8.63,5.6,Rejected
Arabica,Sumatera,1563.2,205.7,12.7,9.72,0.0,Approved
Robusta,Sulawesi,680.6,202.4,9.8,,1.7,Rejected
Robusta,Jawa,657.5,200.4,14.8,10.61,2.5,Approved
Arabica,Jawa,1651.4,196.2,16.1,12.82,2.7,Rejected
Arabica,Bali,1622.5,201.5,12.3,10.24,4.7,Approved
Arabica,Sulawesi,1296.7,,13.0,10.23,0.0,Approved
Arabica,Sulawesi,1451.2,201.5,12.4,12.31,0.0,Approved
Arabica,Sulawesi,1492.1,203.8,13.1,12.6,1.3,Approved
Arabica,Bali,1473.1,207.3,11.8,10.87,0.1,Approved
Arabica,Bali,1566.8,207.6,11.9,12.03,7.3,Rejected
Arabica,Jawa,1786.3,199.6,13.8,9.38,0.5,Approved
Arabica,Sumatera,1716.4,210.0,16.7,13.07,1.3,Approved
Arabica,Sulawesi,1237.6,210.6,9.2,14.22,0.1,Rejected
Arabica,Sulawesi,1624.4,199.4,11.8,11.78,1.5,Approved
Arabica,Sumatera,1765.8,200.9,9.6,7.87,1.0,Approved
Arabica,Sulawesi,1577.4,211.0,15.2,10.16,0.1,Approved
Robusta,Bali,583.2,204.3,10.8,11.92,0.8,Rejected
Arabica,Bali,1902.5,193.9,9.1,10.37,1.0,Approved
Arabica,Sulawesi,1704.7,198.0,13.3,12.91,9.2,Rejected
Arabica,Bali,1549.9,203.8,15.5,11.88,0.5,Approved
Arabica,Bali,1709.0,199.2,13.3,9.94,1.6,Approved
Arabica,Sulawesi,1529.0,202.9,12.4,11.05,8.7,Rejected
Arabica,Jawa,1504.8,205.2,12.8,9.66,3.1,Approved
Robusta,Sumatera,943.3,212.3,14.8,10.73,10.0,Approved
Arabica,Bali,1812.7,,10.3,10.17,6.9,Approved
Arabica,Jawa,1336.3,210.4,11.8,12.76,1.3,Approved
Arabica,Bali,1806.5,212.1,11.1,14.17,2.4,Approved
Arabica,Bali,1600.0,212.2,9.7,8.85,0.2,Rejected
Arabica,Sumatera,1220.1,206.4,11.3,8.12,1.2,Rejected
Robusta,Bali,812.2,195.2,14.2,10.63,3.3,Approved
Arabica,Sumatera,1080.0,207.3,13.1,8.72,1.4,Rejected
Robusta,Sumatera,1158.3,210.2,13.3,11.07,2.4,Approved
Robusta,Sumatera,977.6,204.6,12.3,12.12,2.7,Approved
Arabica,Jawa,1381.5,213.7,13.0,13.24,0.6,Rejected
Arabica,Sulawesi,1524.7,209.3,10.4,11.3,4.2,Approved
Arabica,Jawa,1890.8,207.8,11.4,10.71,1.2,Approved
Arabica,Sulawesi,1398.9,210.4,12.4,8.03,0.5,Approved
Arabica,Sulawesi,1288.2,206.7,12.6,11.04,4.0,Approved
Arabica,Sumatera,1796.3,192.5,12.6,11.11,1.1,Approved
Arabica,Bali,1892.5,202.5,11.7,11.96,2.8,Approved
Arabica,Sumatera,1500.7,211.0,11.2,9.94,1.6,Rejected
Robusta,Bali,831.6,201.0,18.3,10.35,1.0,Approved
Arabica,Sulawesi,1768.3,203.9,13.8,8.78,3.3,Rejected
Robusta,Sumatera,1038.9,199.8,12.8,7.56,1.8,Rejected
Arabica,Bali,1402.9,213.9,11.5,9.34,1.0,Approved
Arabica,Jawa,1746.2,213.4,11.1,8.64,0.2,Approved
Arabica,Bali,1837.0,200.6,11.7,11.51,4.5,Approved
Arabica,Sumatera,1612.6,205.7,12.6,10.22,0.1,Approved
Robusta,Jawa,871.0,201.6,8.2,10.19,4.0,Approved
Robusta,Bali,843.6,208.1,8.9,9.52,0.9,Approved
Robusta,Bali,943.7,207.5,10.7,6.15,2.0,Approved
Arabica,Bali,1433.0,209.1,12.4,13.26,5.1,Rejected
Arabica,Bali,1568.5,206.7,11.5,9.5,0.3,Approved
Robusta,Bali,595.2,219.7,15.0,10.38,1.7,Approved
Robusta,Jawa,905.2,,9.0,8.82,2.9,Rejected
Robusta,Sulawesi,877.8,196.4,10.5,12.46,2.8,Approved
